"age_group","contact_[0,9)","contact_[9,19)","contact_[19,29)","contact_[29,39)","contact_[39,49)","contact_[49,59)","contact_[59,69)","contact_[69,79)","contact_79+"
"[0,9)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"[9,19)","0.838436755550752","1.64037250605586","1.41936685294132","0.620152753963675","0.282531432281096","0.00637882929911907","0.129239743749852","0.057532726093987","0.0894268725895823"
"[19,29)","0.380095693400197","1.27093978087585","1.39025331013372","0.753637736898756","0.54951400041184","0.0755015552531061","0.0723836733693535","0.0621072792061845","0.124228028086758"
"[29,39)","0.61394773404956","0.842516650122796","0.896843696032556","1.1891738936421","0.68571693923956","0.0958706133885509","0.0657444076949446","0.0845340513617232","0.166649229309684"
"[39,49)","0.400450675507807","0.808399134928495","0.927677512019336","1.1696211761084","0.823014332719248","0.117940583250236","0.146426868717292","0.204855819198764","0.264400372026604"
"[49,59)","0.289748107112403","0.878044946289059","0.827459290349014","0.899760955438104","0.602400786529003","0.254114202115989","0.174880886201598","0.245583160458998","0.54321116893388"
"[59,69)","0.28356085556881","0.569560644325511","0.54529351986448","0.680708969272398","0.73592236367304","0.313510266717006","0.171405145240779","0.317401021104027","0.398567302959984"
"[69,79)","0.361328425099021","0.564505057224575","0.531706424806539","0.455884924396701","0.377596980365004","0.34836720753701","0.242122371322027","0.193492651301847","0.632422626974163"
"79+","0.64110521053462","0.277636315056234","0.276502904058839","0.636762350685641","0.26974607629031","0.279112978546329","0.443674101241264","0.33599561719341","0.946326967309917"
