simDay,A,D,E,I1,I2,R1,R2,S
13,7.10492716688652e-05,2.0194181270559377e-08,1.5555832111681076e-05,7.312062317127225e-06,4.5681699977854825e-06,1.597813802568504e-05,2.911564840850049e-06,0.9998826047668566
14,8.659071966582237e-05,2.8642000963150926e-08,1.8125322933111387e-05,8.701115673587943e-06,5.698961804348262e-06,2.084534333564016e-05,4.133668192198172e-06,0.9998558762263942
15,0.0001040773362924701,3.9372522950632393e-08,2.1227570331852853e-05,1.021423500017942e-05,7.000684179229503e-06,2.6675983903154704e-05,5.7113193024213606e-06,0.9998250534984677
16,0.00012408985596954277,5.271380472567889e-08,2.4397104427396564e-05,1.1937922257249573e-05,8.472379804404093e-06,3.356348492821922e-05,7.712384889694323e-06,0.9997897741539186
17,0.00014708552685671058,6.90316598307895e-08,2.6117973622837935e-05,1.3937076605943727e-05,1.0115918357182898e-05,4.160320721106286e-05,1.0211600269215559e-05,0.9997508596654172
18,0.0001712304744758926,8.870227798234824e-08,3.006014588787527e-05,1.587336843251846e-05,1.1976159228984998e-05,5.095179008780017e-05,1.3288907876557551e-05,0.9997065304517323
19,0.00019856913722983066,1.1209114965566703e-07,3.4484715000224985e-05,1.8088385144682237e-05,1.4028356411792668e-05,6.167427942897958e-05,1.7033553571374844e-05,0.9996560094820636
20,0.00022975950932864608,1.395922470678565e-07,3.950629578477498e-05,2.065460171168549e-05,1.630858755417546e-05,7.392685778275719e-05,2.153986687983402e-05,0.9995981646887107
21,0.0002654303040723445,1.7162448057029087e-07,4.557868378759152e-05,2.361956789392926e-05,1.887411411487615e-05,8.79432874292973e-05,2.692304048693029e-05,0.9995314593777342
22,0.0003064956317946847,2.08670814831613e-07,5.263945816032829e-05,2.707602435154883e-05,2.1782733498351957e-05,0.00010396763654558771,3.330418293772511e-05,0.999454525661897
