simDay,A,D,E,I1,I2,R1,R2,S
40,0.0026832155275758217,3.154683729527771e-06,0.000317283709972162,0.00019822159957790946,0.0002039798597645432,0.001276626250992121,0.0006449478394872326,0.9946725705289008
41,0.0029026952881506278,3.537865295966495e-06,0.0003431340229969329,0.0002128801883123545,0.00021966425544755406,0.0014088514428416393,0.0007340448819370576,0.9941751920550181
42,0.003139951230381761,3.947123090431716e-06,0.0003710672677415995,0.00022905382988262554,0.00023647055006097191,0.0015499601785088173,0.0008321705905905135,0.9936373792297434
43,0.0033949819464725007,4.389342115827524e-06,0.0003980312666450026,0.0002465961990815037,0.00025453523033692094,0.001700746769610383,0.0009399322625354297,0.9930607869832025
44,0.00366328092178362,4.89735009365727e-06,0.0004210116237946797,0.0002648427835237282,0.00027373833716568625,0.0018617988016779888,0.0010579822411394128,0.9924524479408214
45,0.003938823749326718,5.523184052796774e-06,0.0004396136016863392,0.0002831264663131375,0.0002937095681443282,0.0020332466442849273,0.0011869875278523406,0.9918189692583395
46,0.004216173587403694,6.324325903622554e-06,0.00045359927678515437,0.00030102871797036096,0.00031396966063836865,0.0022147423075582835,0.001327587235482747,0.9911665748882574
47,0.004490235366063911,7.357866960040927e-06,0.0004644766406608832,0.000318264601221084,0.00033402704055528567,0.0024055397727952782,0.0014803563513214619,0.9904997423604218
48,0.004759788324532956,8.664006906074102e-06,0.00047361196438818723,0.0003351328752149022,0.0003535191108245505,0.0026046162634589297,0.0016457822949058226,0.9898188851597682
49,0.005023279870332862,1.0268613977797454e-05,0.00048474762038126345,0.00035173277152305096,0.0003723060164582356,0.002810978431400309,0.0018242428131717318,0.9891224438627545
50,0.005283382965643099,1.2177295789796215e-05,0.0004968836227321995,0.000368714977521903,0.000390413354956364,0.003023690221441527,0.0020160338608405286,0.9884087037010747
51,0.0055421748973112665,1.4384155814310352e-05,0.0005112203511727771,0.0003864677197246584,0.00040804974902039514,0.003242085536698375,0.0022213770734192655,0.9876742405168389
52,0.0058031246677025675,1.6871798666428943e-05,0.0005293147505999833,0.00040547236177209024,0.00042554050066291095,0.003465770487695611,0.0024404471632199624,0.9869134582696806
53,0.006071066349321043,1.9610176176280457e-05,0.0005504448017776774,0.0004262692530454064,0.0004433478600983058,0.0036947366216097503,0.002673400973830303,0.9861211239641409
54,0.006349191064197485,2.25699702386514e-05,0.0005743279367927296,0.00044905091590461587,0.0004619690610441093,0.003929326326257684,0.0029204045916147504,0.9852931601339499
55,0.006639055912607835,2.5734258530389287e-05,0.0006020917099909144,0.00047377312158071477,0.0004817612669849661,0.004170227803659489,0.003181683620850645,0.9844256723057948
56,0.006944033737469085,2.9085722686568842e-05,0.000631187805778214,0.0005007076830242212,0.000503044835040832,0.004418123773399356,0.003457506509692723,0.9835163099329091
57,0.007265959092761442,3.261535921139376e-05,0.0006613412618633263,0.0005298973140374331,0.000526073720703845,0.004673872088897985,0.0037482043765976985,0.9825620367859266
