simDay,asymptomatic,deceased,exposed,infected1,infected2,recovered1,recovered2,susceptible
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57345080.781819835
2,0.0,0.0,0.32566474854123656,0.0,0.0,0.0,0.0,57345080.46171919
3,32.54568978269624,3.231623133384294e-05,46.90237175067451,4.960742000709503,0.44823171156791086,0.8095392402402529,0.014057656260810802,57344995.10115539
4,121.65484112716463,0.0008200165572267262,98.61853602360283,17.564160903663222,2.903116724519505,5.7265326272564465,0.1960387342347916,57344834.11777365
5,263.0864822914304,0.0052273101201426656,152.36823617778649,36.04056703140137,8.582828468009222,18.403637911992345,0.942588838803201,57344601.35225178
6,456.5260170398257,0.018944423299815733,201.46937557809005,59.504683793807956,18.288003404356218,42.405543950535446,2.893855044101957,57344299.67539658
7,699.2444540898854,0.04993334814812264,244.46063522234599,87.26941513892228,31.969676694190525,80.2474699211358,6.887177818622825,57343930.65305758
8,978.4462099649936,0.10910333860949702,300.0361559029602,116.40830995571807,50.465569704980815,135.59019769669504,13.961709502841126,57343485.76456375
9,1299.1055846428897,0.20732156210153532,354.32533891719487,147.7765699622836,73.33619050042559,210.4537743263063,25.34080757824044,57342970.236232325
10,1658.8488554873015,0.35652059228855537,409.10430800871774,181.107160548917,100.08790105844798,306.55947038344095,42.41448138007581,57342382.303122364
11,2058.681644887132,0.5688029981356502,458.35573554843734,216.52635595507866,130.5523681985932,425.5203036469419,66.65753327249163,57341723.919075295
12,2507.8405870006404,0.8552894511880632,491.6710134973235,255.77175293041066,164.1813363418324,568.4152756416963,99.65447319097164,57340992.39209176
13,2969.3178575641828,1.2261437318422226,552.2765058870001,292.1750920259126,201.7375020156396,737.782827014863,143.04468528237405,57340183.221206315
14,3461.5657621182945,1.6902565542490615,613.4211835383779,329.3441389683048,242.21371230424148,933.693694527863,198.5983658506773,57339300.25470599
15,3986.2088221936438,2.255553000336302,663.7057105141918,367.84723964156893,285.0863031606622,1156.5485007584084,268.1157307131728,57338351.013959825
16,4538.172486918049,2.9289858361859467,684.5868578965011,407.40316752573716,329.5810800426162,1405.8426645522184,353.40988450566726,57337358.85669254
17,5075.429208194222,3.715502018836298,704.7076294624419,441.23417165823696,375.6773663601442,1681.658654846977,456.2157190696751,57336342.14356819
18,5599.51167286853,4.617501197912461,719.5053571526736,470.72916173218823,421.9240588171828,1981.456605923926,578.2188819368465,57335304.81858019
19,6118.45310802519,5.63502315887057,735.0158772396982,498.0095608402142,467.42888401459845,2302.8240755401266,720.9366686158385,57334232.478622384
20,6629.532524567096,6.765267271038622,790.5402781004789,522.7914050528632,512.2439442863423,2644.4832443783716,885.7369507115951,57333088.68820543
21,7175.977676705553,8.003200758617904,850.5432219251655,552.3115219040773,556.3024749789081,3005.2716882963446,1073.94640265848,57331858.425632596
22,7769.360837570214,9.343311019856381,909.9282326448727,587.7473515223146,600.7470403547184,3386.1222957307646,1286.861699202164,57330530.67105176
23,8396.67067012923,10.781211350452027,991.1655602516104,625.8988741038559,647.0435339076505,3789.604134223436,1525.906041383748,57329093.71179446
24,9072.109913167402,12.313834683656124,1083.0995171518248,668.5223778345007,695.9154753167836,4217.265004528266,1792.595414899149,57327538.96028225
25,9823.833685585125,13.940636819663553,1157.4057691960243,720.0406375320634,747.3573820660596,4670.647794472056,2088.694361817965,57325858.86155231
26,10627.485528057585,15.663733751434487,1250.9916151124582,775.141155142384,803.0786245676611,5153.551849986162,2415.9890559237683,57324038.88025726
27,11487.251479550276,17.48686109991819,1365.9924005980529,833.8155808169524,863.7595191808326,5668.95159014721,2776.5002572978265,57322067.02413112
28,12435.098142455658,19.415615683180366,1470.8148377943894,901.1820262449911,929.1463326883105,6219.052565346984,3172.5422772926095,57319933.53002229
29,13456.21169288887,21.458494853176198,1592.445523613724,973.6762180237646,1000.5096568629424,6808.191642353915,3606.539998636037,57317621.74859258
30,14558.766944638435,23.625271592344287,1730.0394118401664,1051.9563814804258,1078.3806151670394,7440.096178005832,4081.1957835312687,57315116.72123356
31,15760.884067300045,25.927274537192158,1871.2077956927928,1138.4689554134409,1163.0039482223192,8118.463834620307,4599.519858687782,57312403.30608534
32,17061.37802028825,28.377864311128363,2028.4108701164198,1232.0391391512571,1255.2888386582554,8848.088744548206,5164.749148189116,57309462.44919455
33,18452.91531838765,30.99155116137664,2309.4848556031607,1330.7155427491905,1355.7759788899964,9633.699335157418,5780.382663356,57306186.816574514
34,20618.008724192572,33.78414286311208,3369.8104233823287,1537.3748932808837,1474.9718761284003,10498.670488045862,6449.230098421304,57301098.93117351
35,23638.037831247173,36.7867128925867,4011.496807434419,1845.7551302417735,1636.6170005795045,11500.359754286617,7179.580819300707,57295232.14776382
36,27242.65555330897,40.06783998110018,4618.636837555376,2203.010048263968,1848.61831316788,12679.8352204808,7982.070683730426,57288465.88732332
37,31394.407898345526,43.722644126771776,5351.0344599280115,2597.400978757921,2114.4464493513165,14072.319543137211,8869.372793190701,57280638.07705297
38,36218.800700929954,47.87266860645164,6177.740101486248,3045.11421195009,2435.6133899394613,15711.321747643617,9856.97148349918,57271587.34751575
39,41796.11088559163,52.64962648465556,7145.1001582848785,3552.4451571860136,2817.002636531927,17637.171501240402,10962.605166987589,57261117.696687505
40,48250.46096690275,58.2005484406058,8264.661326758382,4131.902567218296,3264.5168427620447,19894.31947986496,12206.792886875246,57249009.92720097
41,55693.40679339978,64.80106954527898,9499.59003527193,4792.868072813373,3785.157509226995,22532.78530463488,13612.909798924287,57235099.26323601
